user_id,data_provenance,as_of_date,signup_date,focus_area,account_age_days,days_since_last_session,sessions_7d,sessions_30d,pulse_checkins_7d,pulse_checkins_30d,weekly_active_days,avg_session_minutes,content_diversity_30d,consultations_90d,days_since_last_consultation,briefs_started_30d,referrals_created_90d,feedback_helpful_rate,signup_completed,onboarding_completed,pulse_completed,brief_created,consultation_booked,repeat_consultation_90d,invites_created,invites_opened,invites_completed,retained_d1,retained_d7,retained_d30,future_30d_churn,future_14d_consultation
SYN-00079,synthetic_demo,2026-01-01,2025-09-25,career,98,29,0,1,0,1,0,4.41,2,0,180,0,0,0.7953,1,1,1,0,0,0,0,0,0,1,0,0,1,0
SYN-00118,synthetic_demo,2026-01-01,2025-03-10,family,297,26,0,4,0,2,0,5.98,2,0,180,0,1,0.7361,1,1,1,0,0,0,1,1,0,1,0,0,1,0
SYN-00287,synthetic_demo,2026-01-01,2025-01-30,family,336,2,1,4,1,3,1,9.77,3,2,51,0,0,0.8452,1,1,1,0,0,1,0,0,0,0,0,0,0,1
SYN-00938,synthetic_demo,2026-01-01,2025-06-07,education,208,16,0,1,0,0,0,8.88,2,0,180,0,0,0.4386,1,1,0,0,0,0,0,0,0,0,0,0,1,0
SYN-01468,synthetic_demo,2026-01-01,2025-02-10,finance,325,1,1,3,1,3,0,9.33,2,0,180,0,2,0.746,1,1,1,0,0,0,2,1,1,1,1,0,0,0
SYN-02369,synthetic_demo,2026-01-01,2025-01-02,finance,364,7,0,1,0,0,0,2.59,1,0,180,0,0,0.8222,1,1,0,0,0,0,0,0,0,0,0,0,0,0
SYN-00385,synthetic_demo,2026-01-02,2025-11-13,career,50,1,1,2,0,0,1,7.06,4,0,180,0,0,0.8512,1,1,0,0,0,0,0,0,0,0,0,0,0,1
SYN-00483,synthetic_demo,2026-01-02,2025-04-13,relationship,264,7,0,4,0,3,0,6.62,3,1,7,1,0,0.8748,1,1,1,1,0,0,0,0,0,1,1,0,0,0
SYN-00507,synthetic_demo,2026-01-02,2024-10-13,relationship,446,7,0,7,0,3,0,3.23,2,0,180,0,0,0.3464,1,1,1,0,0,0,0,0,0,0,0,0,0,0
SYN-00606,synthetic_demo,2026-01-02,2025-04-10,relationship,267,7,0,3,0,2,0,5.3,1,1,32,0,0,0.8331,1,1,1,0,0,0,0,0,0,0,0,0,0,0
SYN-00842,synthetic_demo,2026-01-02,2025-05-22,career,225,20,0,1,0,1,0,9.49,2,0,180,0,0,0.7321,1,1,1,0,0,0,0,0,0,0,0,0,1,0
SYN-00875,synthetic_demo,2026-01-02,2024-12-21,personal_growth,377,6,1,5,1,5,1,8.6,1,2,63,0,1,0.9903,1,1,1,0,0,1,1,1,1,1,0,0,0,0
SYN-01352,synthetic_demo,2026-01-02,2025-11-27,personal_growth,36,17,0,3,0,2,0,5.62,3,0,180,0,0,0.6429,1,1,1,0,0,0,0,0,0,0,0,0,1,0
SYN-01630,synthetic_demo,2026-01-02,2025-04-30,relationship,247,1,2,5,0,4,2,9.32,3,1,19,0,1,0.7255,1,1,1,0,0,0,1,1,0,0,0,0,0,0
SYN-01676,synthetic_demo,2026-01-02,2024-12-25,relationship,373,20,0,1,0,0,0,6.49,5,1,68,0,0,0.4793,1,1,0,0,0,0,0,0,0,0,0,0,0,1
SYN-01891,synthetic_demo,2026-01-02,2024-08-11,relationship,509,21,0,1,0,0,0,7.11,2,0,180,0,0,0.663,1,0,0,0,0,0,0,0,0,0,0,0,1,0
SYN-02017,synthetic_demo,2026-01-02,2025-09-28,education,96,0,1,4,0,2,1,4.44,2,0,180,1,1,0.519,1,1,1,1,1,0,1,1,0,0,0,0,0,0
SYN-02020,synthetic_demo,2026-01-02,2024-10-20,education,439,7,0,2,0,0,0,5.52,2,1,34,0,0,0.5426,1,1,0,0,0,0,0,0,0,1,1,0,1,0
SYN-02129,synthetic_demo,2026-01-02,2025-08-05,finance,150,0,2,7,1,4,1,6.38,2,1,52,0,1,0.5915,1,1,1,0,0,0,1,0,0,1,0,0,0,1
SYN-02156,synthetic_demo,2026-01-02,2024-08-10,career,510,7,0,2,0,2,0,5.71,2,0,180,0,0,0.8502,1,1,1,0,0,0,0,0,0,0,0,0,1,0
SYN-02159,synthetic_demo,2026-01-02,2025-04-20,relationship,257,30,0,0,0,0,0,8.48,0,0,180,0,0,0.7008,1,1,0,0,0,0,0,0,0,1,0,0,0,0
SYN-00048,synthetic_demo,2026-01-03,2025-06-23,education,194,7,0,4,0,1,0,2.61,0,1,31,0,0,0.8864,1,1,1,0,0,0,0,0,0,1,1,0,1,1
SYN-00170,synthetic_demo,2026-01-03,2024-11-02,career,427,4,1,4,0,0,0,6.26,3,1,43,0,0,0.9154,1,1,0,0,0,0,0,0,0,1,0,0,0,0
SYN-00554,synthetic_demo,2026-01-03,2024-08-02,relationship,519,13,0,3,0,1,0,1.0,0,0,180,0,0,0.7447,1,1,1,0,0,0,0,0,0,0,0,0,0,0
SYN-00974,synthetic_demo,2026-01-03,2024-10-18,relationship,442,22,0,2,0,2,0,5.12,3,0,180,0,1,0.797,1,1,1,0,0,0,1,1,0,0,0,0,1,0
SYN-00979,synthetic_demo,2026-01-03,2025-01-27,career,341,6,2,5,2,4,2,11.25,2,0,180,1,1,0.9438,1,1,1,1,1,0,1,1,0,1,0,0,0,0
SYN-01749,synthetic_demo,2026-01-03,2025-08-26,relationship,130,28,0,2,0,0,0,7.63,5,0,180,0,1,0.7735,1,1,0,0,0,0,1,0,0,1,1,0,1,0
SYN-01969,synthetic_demo,2026-01-03,2024-09-01,career,489,7,0,2,0,0,0,3.99,1,0,180,0,0,0.6691,1,1,0,0,0,0,0,0,0,0,0,0,1,0
SYN-02036,synthetic_demo,2026-01-03,2024-10-30,relationship,430,7,0,4,0,1,0,4.52,2,0,180,0,0,0.6817,1,1,1,0,0,0,0,0,0,0,0,0,0,0
SYN-02142,synthetic_demo,2026-01-03,2025-02-02,career,335,13,0,1,0,0,0,6.45,2,0,180,0,0,0.5455,1,1,0,0,0,0,0,0,0,0,0,0,0,0
SYN-02233,synthetic_demo,2026-01-03,2024-12-26,relationship,373,7,0,2,0,1,0,6.75,3,0,180,0,0,0.6602,1,1,1,0,0,0,0,0,0,1,0,0,1,0
SYN-00462,synthetic_demo,2026-01-04,2025-11-20,career,45,7,0,5,0,3,0,5.38,3,0,180,2,1,0.576,1,1,1,1,1,0,1,1,0,1,0,0,1,0
SYN-00536,synthetic_demo,2026-01-04,2025-10-04,finance,92,4,1,4,1,1,1,8.79,2,0,180,0,0,0.9432,1,1,1,0,0,0,0,0,0,1,1,0,0,0
SYN-01275,synthetic_demo,2026-01-04,2024-09-10,education,481,1,2,3,0,1,2,8.42,2,0,180,0,0,0.8051,1,1,1,0,0,0,0,0,0,1,1,0,0,1
SYN-01426,synthetic_demo,2026-01-04,2024-12-05,career,395,7,0,4,0,3,0,3.25,4,0,180,0,1,0.3629,1,1,1,0,0,0,1,1,0,1,0,0,0,0
SYN-01754,synthetic_demo,2026-01-04,2025-04-23,education,256,26,0,1,0,0,0,4.58,1,0,180,0,0,0.5083,1,1,0,0,0,0,0,0,0,0,0,0,1,0
SYN-01888,synthetic_demo,2026-01-04,2025-01-08,career,361,1,3,10,0,4,3,5.32,3,1,52,0,0,0.3467,1,1,1,0,0,0,0,0,0,1,1,0,0,1
SYN-02037,synthetic_demo,2026-01-04,2025-09-19,finance,107,1,1,3,1,2,1,6.17,0,1,37,0,0,0.5131,1,1,1,0,0,0,0,0,0,1,0,0,1,0
SYN-02328,synthetic_demo,2026-01-04,2024-08-17,career,505,12,0,3,0,1,0,7.22,0,0,180,0,2,0.6527,1,1,1,0,0,0,2,1,0,1,0,0,1,0
